longitude,latitude,toll_name,geo_state
84.4883019,25.4982505,Babhaniyawan Toll Plaza,Bihar
78.4645601,25.2163229,Babina Toll Plaza,Uttar Pradesh
76.38934493,31.01469574,Bachhwan Toll Plaza,Punjab
82.3744962,27.5056676,Badagaon Toll Plaza,Uttar Pradesh
77.3057006,28.4762419,Badarpur Faridabad Toll Plaza,Haryana
80.6576623,26.066007,Badauri Toll Plaza,Uttar Pradesh
80.6329543,16.8507788,Badava Toll Plaza,Andhra Pradesh
81.6203729,19.2297711,Badayiguda Toll Plaza,Chhattisgarh
75.640495,30.2478128,Badbar Toll Plaza,Punjab
75.3470821,19.1715738,Badewadi Toll Plaza,Maharashtra
76.3211974,21.2978591,Badgaon Toll Plaza,Madhya Pradesh
77.8305121,22.8792887,Badi Baktara Toll Plaza,Madhya Pradesh
74.5065252,26.5473647,Badi Ghati Toll Plaza,Rajasthan
76.250052,26.527359,Badkapara Toll Plaza,Rajasthan
76.820849,28.575254,Badli Toll Plaza,Haryana
75.8199341,29.298647,Badopatti Toll Plaza,Haryana
74.1608431,25.8843501,Bagaliya Toll Plaza,Rajasthan
76.3734978,26.4319846,Bagdi Km 14 Toll Plaza,Rajasthan
77.764275,13.792997,Bagepalli Toll Plaza,Karnataka
73.9029185,25.5905262,Baggar Toll Plaza,Rajasthan
72.1793926,22.6304359,Bagodara Toll Plaza,Gujarat
77.7197324,22.784452,Bagwada Toll Plaza,Madhya Pradesh
76.7169159,27.5272061,Bahala Toll Plaza,Rajasthan
77.249761,22.3149361,Baharagaon Toll Plaza,Madhya Pradesh
79.9080028,23.0470944,Bahoripar Toll Plaza,Madhya Pradesh
76.5124395,29.4851753,Bahri Toll Plaza,Haryana
76.4012268,29.0270059,Bainsi Toll Plaza,Haryana
82.3394042,26.0544377,Baiti Kala Toll Plaza,Uttar Pradesh
77.6661174,27.8826635,Bajna Ramp Toll Plaza,Uttar Pradesh
77.2867789,24.575606,Bajrangarh Toll Plaza,Madhya Pradesh
79.3582326,22.8436452,Bakori Toll Plaza,Madhya Pradesh
72.519899,22.9353282,Bakrol Toll Plaza,Gujarat
92.756356,24.946609,Balachera Toll Plaza,Assam
73.0864647,25.2929983,Balana Toll Plaza,Rajasthan
74.9929627,25.6335548,Baland Toll Plaza,Rajasthan
77.443155,28.959724,Baleni Toll Plaza,Uttar Pradesh
86.0818908,25.2023437,Balgudar Toll Plaza,Bihar
87.1258987,22.3447909,Balibhasa Toll Plaza,West Bengal
74.7409479,30.2154317,Balluana Toll Plaza,Punjab
